Locality,Type,Rent,Area,Furnishing_Status,Bathroom,Balcony,Parking,Carpet_Area,Annual_Rent,Price,ROI (%)
andheri,3,100000,1850.0,1,3.0,1.0,2.0,1400.0,1200000,18500000.0,6.486486486486487
andheri,2,45000,1240.0,1,2.0,4.0,1.0,850.0,540000,12400000.0,4.354838709677419
andheri,2,44000,1250.0,2,2.0,3.0,1.0,800.0,528000,12500000.0,4.224
andheri,3,72000,1377.0,1,2.0,2.0,1.0,889.0,864000,13770000.0,6.2745098039215685
andheri,2,52000,1200.0,1,2.0,2.0,1.0,710.0,624000,12000000.0,5.2
andheri,3,100000,2200.0,0,3.0,4.0,2.0,1600.0,1200000,22000000.0,5.454545454545454
andheri,3,55000,1350.0,2,2.0,2.0,1.0,1064.0,660000,13500000.0,4.888888888888889
andheri,3,72000,987.0,1,2.0,2.0,2.0,880.0,864000,9870000.0,8.753799392097264
andheri,2,75000,1350.0,2,2.0,1.0,1.0,850.0,900000,13500000.0,6.666666666666667
andheri,3,135000,1500.0,0,3.0,2.0,2.0,1280.0,1620000,15000000.0,10.8
andheri,3,75000,1482.0,0,3.0,4.0,1.0,1100.0,900000,14820000.0,6.0728744939271255
andheri,3,69500,1300.0,2,3.0,3.0,1.0,1100.0,834000,13000000.0,6.415384615384616
andheri,3,110000,1600.0,2,3.0,1.0,3.0,1400.0,1320000,16000000.0,8.25
andheri,2,60000,900.0,1,2.0,1.0,2.0,710.0,720000,9000000.0,8.0
andheri,3,59000,1200.0,2,3.0,1.0,1.0,1054.0,708000,12000000.0,5.9
andheri,2,55000,720.0,0,2.0,1.0,0.0,600.0,660000,7200000.0,9.166666666666666
andheri,2,33000,980.0,2,2.0,3.0,2.0,760.0,396000,9800000.0,4.040816326530612
andheri,2,40000,900.0,2,2.0,2.0,1.0,700.0,480000,9000000.0,5.333333333333334
andheri,3,70000,1500.0,0,3.0,3.0,1.0,1050.0,840000,15000000.0,5.6000000000000005
andheri,2,40000,600.0,2,2.0,1.0,1.0,540.0,480000,6000000.0,8.0
andheri,0,14000,350.0,1,1.0,1.0,1.0,270.0,168000,3500000.0,4.8
andheri,2,75000,1250.0,0,2.0,2.0,1.0,950.0,900000,12500000.0,7.199999999999999
andheri,3,75000,1600.0,0,3.0,3.0,2.0,1300.0,900000,16000000.0,5.625
andheri,3,80000,1550.0,1,3.0,2.0,2.0,1235.0,960000,15500000.0,6.193548387096774
andheri,2,50000,1000.0,1,2.0,2.0,1.0,900.0,600000,10000000.0,6.0
andheri,3,75000,1750.0,0,2.0,2.0,2.0,1200.0,900000,17500000.0,5.142857142857142
andheri,0,19000,300.0,0,1.0,1.0,1.0,250.0,228000,3000000.0,7.6
andheri,3,85000,1295.0,1,2.0,1.0,1.0,997.0,1020000,12950000.0,7.876447876447877
andheri,0,13000,350.0,2,1.0,1.0,2.0,270.0,156000,3500000.0,4.457142857142857
andheri,3,118000,1500.0,0,3.0,3.0,2.0,1200.0,1416000,15000000.0,9.44
andheri,3,65000,1450.0,1,3.0,1.0,1.0,950.0,780000,14500000.0,5.379310344827586
andheri,2,38000,900.0,2,2.0,1.0,0.0,700.0,456000,9000000.0,5.066666666666666
andheri,0,27000,600.0,0,2.0,1.0,1.0,500.0,324000,6000000.0,5.4
andheri,3,80000,1000.0,0,3.0,1.0,1.0,800.0,960000,10000000.0,9.6
andheri,3,65000,1610.0,0,3.0,2.0,2.0,1100.0,780000,16100000.0,4.84472049689441
andheri,2,85000,1100.0,2,2.0,1.0,1.0,850.0,1020000,11000000.0,9.272727272727272
andheri,3,50000,1200.0,1,2.0,2.0,1.0,1000.0,600000,12000000.0,5.0
andheri,0,30500,625.0,2,1.0,1.0,2.0,475.0,366000,6250000.0,5.856
andheri,0,18000,350.0,0,1.0,1.0,1.0,300.0,216000,3500000.0,6.171428571428572
andheri,2,65000,900.0,1,2.0,1.0,2.0,750.0,780000,9000000.0,8.666666666666668
andheri,3,135000,1680.0,1,3.0,2.0,1.0,1381.0,1620000,16800000.0,9.642857142857144
andheri,0,32000,750.0,2,1.0,1.0,0.0,450.0,384000,7500000.0,5.12
andheri,2,50000,780.0,0,2.0,1.0,1.0,700.0,600000,7800000.0,7.6923076923076925
andheri,0,25000,650.0,0,2.0,2.0,3.0,550.0,300000,6500000.0,4.615384615384616
andheri,3,85000,1400.0,0,3.0,3.0,2.0,1000.0,1020000,14000000.0,7.285714285714286
andheri,2,55000,950.0,2,2.0,1.0,1.0,898.0,660000,9500000.0,6.947368421052631
andheri,0,25000,650.0,2,1.0,1.0,0.0,450.0,300000,6500000.0,4.615384615384616
andheri,0,28000,600.0,1,1.0,1.0,2.0,400.0,336000,6000000.0,5.6000000000000005
andheri,1,25000,400.0,2,1.0,2.0,2.0,360.0,300000,4000000.0,7.5
andheri,3,80000,1740.0,1,3.0,1.0,1.0,1250.0,960000,17400000.0,5.517241379310345
andheri,0,13240,375.0,1,1.0,1.0,0.0,350.0,158880,3750000.0,4.236800000000001
andheri,2,12000,980.0,2,2.0,2.0,1.0,590.0,144000,9800000.0,1.469387755102041
andheri,0,28000,700.0,1,1.0,1.0,0.0,550.0,336000,7000000.0,4.8
andheri,2,35000,1385.0,0,2.0,1.0,0.0,875.0,420000,13850000.0,3.032490974729242
andheri,2,55000,900.0,1,2.0,2.0,1.0,720.0,660000,9000000.0,7.333333333333333
andheri,2,62000,864.0,1,2.0,2.0,1.0,720.0,744000,8640000.0,8.61111111111111
